,Country,University,Website
141,Argentina,Universidad de Mendoza,www.um.edu.ar
142,Argentina,Universidad de Morón,www.unimoron.edu.ar
143,Argentina,Universidad de Palermo,www.palermo.edu.ar
144,Argentina,Universidad de San Andres,www.udesa.edu.ar
145,Argentina,Universidad Empresarial Siglio 21,www.uesiglo21.edu.ar
146,Argentina,Universidad ISALUD,www.isalud.edu.ar
147,Argentina,"Universidad ""Juan Agustín Maza""",www.umaza.edu.ar
148,Argentina,Universidad Maimónides,www.maimonides.edu.ar
149,Argentina,Universidad Nacional de Catamarca,www.unca.edu.ar
150,Argentina,Universidad Nacional de Córdoba,www.unc.edu.ar
151,Argentina,Universidad Nacional de Cuyo,www.uncu.edu.ar
152,Argentina,Universidad Nacional de Entre Ríos,www.uner.edu.ar
153,Argentina,Universidad Nacional de Formosa,www.unf.edu.ar
154,Argentina,Universidad Nacional de General San Martín,www.unsam.edu.ar
155,Argentina,Universidad Nacional de General Sarmiento,www.ungs.edu.ar
156,Argentina,Universidad Nacional de Jujuy,www.unju.edu.ar
157,Argentina,Universidad Nacional de La Matanza,www.unlam.edu.ar
158,Argentina,Universidad Nacional de Lanus,www.unla.edu.ar
159,Argentina,Universidad Nacional de La Pampa,www.unlpam.edu.ar
160,Argentina,Universidad Nacional de la Patagonia Austral,www.unpa.edu.ar
161,Argentina,"Universidad Nacional de la Patagonia ""San Juan Bosco""",www.unp.edu.ar
162,Argentina,Universidad Nacional de La Plata,www.unlp.edu.ar
163,Argentina,Universidad Nacional de La Rioja,www.unlar.edu.ar
164,Argentina,Universidad Nacional del Centro de la Provincia de Buenos Aires,www.unicen.edu.ar
165,Argentina,Universidad Nacional del Comahue,www.uncoma.edu.ar
166,Argentina,Universidad Nacional del Littoral,www.unl.edu.ar
167,Argentina,Universidad Nacional del Nordeste,www.unne.edu.ar
168,Argentina,Universidad Nacional del Noroeste de la Provincia de Buenos Aires,www.unnoba.edu.ar
169,Argentina,Universidad Nacional de Lomas de Zamora,www.unlz.edu.ar
170,Argentina,Universidad Nacional del Sur,www.uns.edu.ar
172,Argentina,Universidad Nacional de Mar del Plata,www.mdp.edu.ar
173,Argentina,Universidad Nacional de Misiones,www.unam.edu.ar
174,Argentina,Universidad Nacional de Quilmes,www.unq.edu.ar
175,Argentina,Universidad Nacional de Río Cuarto,www.unrc.edu.ar
176,Argentina,Universidad Nacional de Rosario,www.unr.edu.ar
177,Argentina,Universidad Nacional de Salta,www.unsa.edu.ar
178,Argentina,Universidad Nacional de San Juan,www.unsj.edu.ar
179,Argentina,Universidad Nacional de San Luis,www.unsl.edu.ar
180,Argentina,Universidad Nacional de Santiago del Estero,www.unse.edu.ar
181,Argentina,Universidad Nacional de Tres de Febrero,www.untref.edu.ar
182,Argentina,Universidad Nacional de Tucumán,www.unt.edu.ar
183,Argentina,Universidad Nacional de Villa María,www.unvm.edu.ar
184,Argentina,Universidad Notarial Argentina,www.universidadnotarial.edu.ar
185,Argentina,Universidad Tecnológica Nacional,www.utn.edu.ar
186,Argentina,Universidad Torcuato di Tella,www.utdt.edu
187,Armenia,American University of Armenia,www.aua.am
188,Armenia,Armenian State Agrarian University,www.asau.am
189,Armenia,Armenian State University of Economics,www.asue.am
190,Armenia,Eurasia International University,www.eiu.am
191,Armenia,European Regional Educational Academy of Armenia,www.eriicta.am
192,Armenia,French University in Armenia (UFAR),www.ufar.am
193,Armenia,Mehrabyan Medical Institute and Medical College,www.armmed.am
194,Armenia,Russian-Armenian (Slavonic) State University,www.rau.am
195,Armenia,State Engineering University of Armenia,www.seua.am
196,Armenia,Yerevan Haibusak University,www.haybusak.org
197,Armenia,Yerevan State Medical University,www.ysmu.am
198,Armenia,Yerevan State University,www.ysu.am
199,Australia,Australian Catholic University,www.acu.edu.au
200,Australia,Australian Correspondence Schools,www.acs.edu.au
201,Australia,Australian Defence Force Academy,www.adfa.oz.au
202,Australia,Australian Lutheran College,www.alc.edu.au
203,Australia,Australian Maritime College,www.amc.edu.au
204,Australia,Australian National University,www.anu.edu.au
205,Australia,Avondale College,www.avondale.edu.au
206,Australia,Batchelor Institute of Indigenous Tertiary Education,www.nt.gov.au
207,Australia,Blue Mountains Hotel School,www.hotelschool.com.au
208,Australia,Bond University,www.bond.edu.au
209,Australia,Central Queensland University,www.cqu.edu.au
210,Australia,Charles Darwin University,www.cdu.edu.au
211,Australia,Charles Sturt University,www.csu.edu.au
212,Australia,Curtin University of Technology,www.curtin.edu.au
213,Australia,Deakin University,www.deakin.edu.au
214,Australia,Edith Cowan University,www.ecu.edu.au
215,Australia,Flinders University of South Australia,www.flinders.edu.au
216,Australia,Griffith University,www.gu.edu.au
217,Australia,Holmes Institute,www.holmes.edu.au
218,Australia,"Institute Of Technology, Australia",www.iota.edu.au
219,Australia,International College of Tourism and Hotel Management,www.icthm.edu.au
220,Australia,James Cook University of North Queensland,www.jcu.edu.au
221,Australia,La Trobe University,www.latrobe.edu.au
222,Australia,Macquarie University,www.mq.edu.au
223,Australia,Marcus Oldham College,www.marcusoldham.vic.edu.au
224,Australia,Monash University,www.monash.edu.au
225,Australia,Murdoch University,www.murdoch.edu.au
226,Australia,Queensland University of Technology,www.qut.edu.au
227,Australia,Royal Melbourne Institute of Technology,www.rmit.edu.au
228,Australia,Southern Cross University,www.scu.edu.au
229,Australia,Swinburne University of Technology,www.swin.edu.au
230,Australia,University of Adelaide,www.adelaide.edu.au
231,Australia,University of Ballarat,www.ballarat.edu.au
232,Australia,University of Canberra,www.canberra.edu.au
233,Australia,University of Divinity,www.divinity.edu.au
234,Australia,University of Melbourne,www.unimelb.edu.au
235,Australia,University of Newcastle,www.newcastle.edu.au
236,Australia,University of New England,www.une.edu.au
237,Australia,University of New South Wales,www.unsw.edu.au
238,Australia,University of Notre Dame Australia,www.nd.edu.au
239,Australia,University of Queensland,www.uq.edu.au
240,Australia,University of South Australia,www.unisa.edu.au
241,Australia,University of Southern Queensland,www.usq.edu.au
242,Australia,University of Sydney,www.usyd.edu.au
243,Australia,University of Tasmania,www.utas.edu.au
244,Australia,University of Technology Sydney,www.uts.edu.au
245,Australia,University of the Sunshine Coast,www.usc.edu.au
246,Australia,University of Western Australia,www.uwa.edu.au
247,Australia,University of Western Sydney,www.uws.edu.au
248,Australia,University of Wollongong,www.uow.edu.au
249,Austria,Akademie der bildenden Künste Wien,www.akbild.ac.at
250,Austria,Anton Bruckner Privatuniversität ,www.bruckneruni.at
251,Austria,Donau-Universität Krems,www.donau-uni.ac.at
252,Austria,Fachhochschule Burgenland,www.fh-burgenland.at
253,Austria,Fachhochschule des BFI Wien,www.fh-vie.ac.at
254,Austria,Fachhochschule JOANNEUM,www.fh-joanneum.at
255,Austria,Fachhochschule Kärnten,www.fh-kaernten.ac.at
256,Austria,Fachhochschule Krems,www.fh-krems.ac.at
257,Austria,Fachhochschule Kufstein (Tirol),www.fh-kufstein.ac.at
258,Austria,Fachhochschule Salzburg,www.fh-sbg.ac.at
259,Austria,Fachhochschule St. Pölten,www.fhstp.ac.at
260,Austria,Fachhochschule Vorarlberg,www.fhv.at
261,Austria,Fachhochschule Wiener Neustadt,www.fhwn.ac.at
262,Austria,"FH Oberösterreich, Campus Hagenberg",www.fh-ooe.at
266,Austria,FH Wien der WKW,www.fhw.at
267,Austria,IMC Fachhochschule Krems,www.imc-krems.ac.at
268,Austria,Institute of Science and Technology,www.ist.ac.at
269,Austria,Katholisch-Theologische Privatuniversität Linz,www.kth-linz.ac.at
270,Austria,MCI-Management Center Innsbruck,www.mci.edu
271,Austria,Medizinische Universität Graz,www.meduni-graz.at
272,Austria,Medizinische Universität Innsbruck,www.i-med.ac.at
273,Austria,Medizinische Universität Wien,www.meduniwien.at
274,Austria,Montanuniversität Leoben,www.unileoben.ac.at
275,Austria,New Design University St. Pölten,www.ndu.ac.at
276,Austria,Paracelsus Medizinische Privatuniversität ,www.pmu.ac.at
277,Austria,"Private Universität für Gesundheitswissenschaften, Medizinische Informatik und Technik",www.umit.at
278,Austria,Technikum Wien,www.technikum-wien.at
279,Austria,Technische Universität Graz,www.tugraz.at
280,Austria,Technische Universität Wien,www.tuwien.ac.at
281,Austria,Universität für angewandte Kunst Wien,ns2.uni-ak.ac.at
282,Austria,Universität für Bodenkultur Wien,www.boku.ac.at
283,Austria,Universität für künstlerische und industrielle Gestaltung Linz,www.khs-linz.ac.at
284,Austria,Universität für Musik und darstellende Kunst Graz,www.kug.ac.at
285,Austria,Universität für Musik und darstellende Kunst  Wien,www.mdw.ac.at
286,Austria,Universität Graz,www.kfunigraz.ac.at
287,Austria,Universität Innsbruck,www.uibk.ac.at
288,Austria,Universität Klagenfurt,www.uni-klu.ac.at
289,Austria,Universität Linz,www.uni-linz.ac.at
290,Austria,Universität Mozarteum Salzburg,www.moz.ac.at
291,Austria,Universität Salzburg,www.sbg.ac.at
292,Austria,Universität Vienna,www.univie.ac.at
293,Austria,Veterinärmedizinische Universität Wien,www.vu-wien.ac.at
294,Austria,"Webster University, Vienna",www.webster.ac.at
295,Austria,Wirtschaftsuniversität Wien,www.wu-wien.ac.at
296,Azerbaijan,Academy of Public Administration,www.dia.edu.az
