keyword,site,search engine,location,groups,language,2017-01-03,2017-01-04,2017-01-05
master's degree in Biochemistry,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
master's degree in Biology,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
master's degree in Business & Commercial Law,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
master's degree in Business & Management,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
master's degree in Business Studies,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
master's degree in Chemistry,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
master's degree in Childhood & Youth Studies,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
master's degree in Children,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
master's degree in Chinese,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
master's degree in Classical Studies,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
master's degree in Communication Technologies,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
master's degree in Computing & IT,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
master's degree in Counselling,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
master's degree in Creative Writing,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
master's degree in Criminology,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
master's degree in Design,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
master's degree in Development,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
master's degree in Early Years,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
master's degree in Earth Sciences,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
master's degree in Ecology,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
master's degree in Economics,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
master's degree in Education,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
master's degree in Electronic Engineering,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,33
master's degree in Engineering,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
master's degree in English Language,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
master's degree in English Literature,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
master's degree in Environment & Development,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
master's degree in Environmental Management,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
master's degree in Environmental Sciences,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
master's degree in Environmental Studies,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
master's degree in Finance,http://www.epfl.ch,google.com,,"<degree_type>-+-subject",en,,,100
