University,Country,rank,inv_rank
Eastern Michigan University,USA,1077,0.5572683343308035
Cleveland State University,USA,1171,0.5551655803309363
Norfolk State University,USA,294,0.5548202427779892
University of Hertfordshire,United Kingdom,801,0.5533449433306425
University of Nebraska - Omaha,USA,1659,0.5511267148119522
University of Bridgeport,USA,1094,0.5492739472900676
Southern Utah University,USA,1480,0.5480388943642622
"Goldsmiths College, University of London",United Kingdom,975,0.5478296864152666
The Master's College,USA,412,0.5429393344646142
Stephen F. Austin State University,USA,1345,0.5330382374544174
University of Memphis,USA,1263,0.5316191399820472
University of Calgary,Canada,1210,0.5313184784727846
University of Bedfordshire,United Kingdom,605,0.5276618312908635
"Swiss Federal Institute of Technology, Lausanne",Switzerland,916,0.5272138010279658
Pepperdine University,USA,1430,0.526399774495388
Emporia State University,USA,673,0.5247281149989101
University of Groningen,Netherlands,2615,0.5240167713159201
University of Limerick,Ireland,1030,0.5170214903079491
St. John's University,USA,1811,0.5167644967148014
Antioch University,USA,353,0.5161369908796756
Hampton University,USA,574,0.5127178658084923
New Mexico State University,USA,1624,0.5124729437712828
Middle Tennessee State University,USA,1340,0.5115580097916663
Morehouse School of Medicine,USA,90,0.5113636363636364
University of Amsterdam,Netherlands,1628,0.49925017931001314
Texas Woman's University,USA,1872,0.49884434371176267
Seattle Pacific University,USA,384,0.497561655110069
Ruprecht-Karls-Universität Heidelberg,Germany,821,0.4951382135017696
Queen's University,Canada,1608,0.49138033772575623
University of Maine (System),USA,1216,0.491338929386098
University of Alaska - Fairbanks,USA,663,0.4783359460818032
University of Manitoba,Canada,1337,0.47665320955133517
Stockholm University,Sweden,1041,0.47643794006990614
Kingston University,United Kingdom,914,0.47083785741559364
University of New South Wales,Australia,1513,0.4673303196261095
London Metropolitan University,United Kingdom,369,0.46581231343032103
Merrimack College,USA,1397,0.4654666877190217
Gonzaga University,USA,1407,0.4643174360152573
University of Southern Maine,USA,1064,0.4634592522034127
Mississippi State University,USA,1081,0.4592465473419499
Queensland University of Technology,Australia,1179,0.45879116536320314
Champlain College,USA,1166,0.4587003548822132
Indiana Wesleyan University,USA,1509,0.4562079156333113
Trident University,USA,859,0.455393233737842
Charles Sturt University,Australia,780,0.45517354456027176
University of Louisiana at Lafayette,USA,1295,0.4550750704747496
Oakland University,USA,1369,0.45484040791361174
Rensselaer Polytechnic Institute,USA,642,0.4536755850930575
Angelo State University,USA,1257,0.44929330527878053
Morgan State University,USA,713,0.4474936109236438
Monash University,Australia,1301,0.4453903452039278
Keele University,United Kingdom,703,0.4439036298655027
University of Rhode Island,USA,1321,0.443055269545462
Rush University,USA,409,0.4426829416539151
University of Nebraska (System),USA,643,0.4407197158136597
